,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
68,1923,3,"+ 1h 04 '43""",Peugeot–Wolber,Romain Bellenger ,FRA,43.0,1,4,0
69,1929,7,"+1h 08' 00""",Alleluia–Wolber,Antonin Magne ,FRA,0.0,1,8,0
70,1930,14,"+ 1h 44' 14""",Touriste-routier (Provence),Louis Peglion ,FRA,14.0,1,44,0
71,1932,12,"+ 1h 14' 12""",Touriste-Routier,Benoît Fauré ,FRA,12.0,1,14,0
72,1932,18,"+ 1h 35' 28""",Touriste-Routier,René Bernard ,FRA,28.0,1,35,0
73,1932,24,"+ 1h 56' 53""",Touriste-Routier,Marcel Mazeyrat ,FRA,53.0,1,56,0
74,1933,15,"+ 1h 22' 12""",Touriste-Routier,Gaspard Rinaldi ,FRA,12.0,1,22,0
75,1933,16,"+ 1h 24' 59""",Touriste-Routier,Eugène Le Goff ,FRA,59.0,1,24,0
76,1935,9,"+ 1h 34' 02""",Touriste-Routier,Gabriel Ruozzi ,FRA,2.0,1,34,0
77,1936,10,"+ 1h 27' 57""",Touriste-Routier,Léon Level ,FRA,57.0,1,27,0
78,1936,12,"+ 1h 38' 06""",Touriste-Routier,Sylvain Marcaillou ,FRA,6.0,1,38,0
79,1936,13,"+ 1h 47' 47""",Touriste-Routier,Louis Thiétard ,FRA,47.0,1,47,0
80,1937,8,"+ 1h 06' 33""",Individual,Pierre Gallien ,FRA,33.0,1,6,0
81,1937,10,"+ 1h 24' 34""",Individual,Jean Frechaut ,FRA,34.0,1,24,0
82,1937,12,"+ 1h 27' 58""",Individual,Raymond Passat ,FRA,58.0,1,27,0
83,1937,13,"+ 1h 31' 57""",Individual,Marcel Laurent ,FRA,57.0,1,31,0
84,1937,17,"+ 1h 38' 55""",Individual,Victor Cosson ,FRA,55.0,1,38,0
85,1937,18,"+ 1h 39' 36""",Individual,Jean-Marie Goasmat ,FRA,36.0,1,39,0
86,1937,19,"+ 1h 41' 21""",Individual,Sauveur Ducazeaux ,FRA,21.0,1,41,0
87,1937,20,"+ 1h 46' 09""",Individual,Robert Oubron ,FRA,9.0,1,46,0
88,1937,23,"+ 1h 56' 38""",Individual,Henri Puppo ,FRA,38.0,1,56,0
89,1938,10,"+ 1h 06' 47""",Bleuets,Dante Gianello ,FRA,47.0,1,6,0
90,1938,13,"+ 1h 13' 54""",Cadets,Robert Tanneveau ,FRA,54.0,1,13,0
91,1938,22,"+ 1h 47' 19""",Cadets,Raymond Passat ,FRA,19.0,1,47,0
92,1938,23,"+ 1h 49' 49""",Cadets,Yvan Marie ,FRA,49.0,1,49,0
93,1938,24,"+ 1h 50' 04""",Cadets,Jean Fontenay ,FRA,4.0,1,50,0
94,1938,26,"+ 1h 50' 21""",Cadets,Raymond Louviot ,FRA,21.0,1,50,0
95,1938,28,"+ 1h 52' 43""",Cadets,Fabien Galateau ,FRA,43.0,1,52,0
96,1938,30,"+ 1h 53' 42""",Cadets,André Leducq ,FRA,42.0,1,53,0
97,1939,14,"+ 1h 06' 24""",Ile de France/North East,Maurice Archambaud ,FRA,24.0,1,6,0
98,1939,16,"+ 1h 10' 22""",Ile de France/North East,Pierre Gallien ,FRA,22.0,1,10,0
99,1939,17,"+ 1h 13' 33""",Ile de France/North East,Louis Thiétard ,FRA,33.0,1,13,0
100,1939,22,"+ 1h 28' 59""",South-East,Fabien Galateau ,FRA,59.0,1,28,0
101,1939,23,"+ 1h 35' 24""",South-West,Edmond Pagès ,FRA,24.0,1,35,0
102,1939,24,"+ 1h 46' 01""",South-East,Oreste Bernardoni ,FRA,1.0,1,46,0
103,1947,9,"+ 1h 16' 03""",West,Jean-Marie Goasmat ,FRA,3.0,1,16,0
104,1947,10,"+ 1h 18' 44""",South-East,Apo Lazaridès ,FRA,44.0,1,18,0
105,1947,12,"+ 1h 44' 55""",West,Pierre Cogan ,FRA,55.0,1,44,0
106,1948,12,"+ 1h 02' 30""",Paris,André Brulé ,FRA,30.0,1,2,0
107,1948,13,"+ 1h 25' 08""",Paris,Kléber Piot ,FRA,8.0,1,25,0
108,1948,15,"+ 1h 39' 49""",Centre/South-West,Raphaël Géminiani ,FRA,49.0,1,39,0
109,1949,10,"+ 1h 08' 55""",West/North,Pierre Cogan ,FRA,55.0,1,8,0
110,1949,18,"+ 1h 43' 22""",South-East,Nello Lauredi ,FRA,22.0,1,43,0
111,1949,20,"+ 1h 48' 01""",Île-de-France,Giuseppe Tacca ,FRA,1.0,1,48,0
112,1950,14,"+ 1h 05' 29""",Île-de-France/North-East,André Brulé ,FRA,29.0,1,5,0
113,1950,17,"+ 1h 13' 29""",South-East,Bernard Gauthier ,FRA,29.0,1,13,0
114,1950,19,"+ 1h 25' 12""",South-East,Robert Castelin ,FRA,12.0,1,25,0
115,1950,20,"+ 1h 28' 57""",Île-de-France/North-East,Attilio Redolfi ,FRA,57.0,1,28,0
116,1950,26,"+ 1h 59' 58""",North Africa,Custodio Dos Reis ,FRA,58.0,1,59,0
117,1951,16,"+ 1h 13' 36""",West/South-West,Georges Meunier ,FRA,36.0,1,13,0
118,1951,19,"+ 1h 15' 30""",West/South-West,Pierre Cogan ,FRA,30.0,1,15,0
119,1951,21,"+ 1h 31' 27""",West/South-West,Jean-Marie Goasmat ,FRA,27.0,1,31,0
120,1951,23,"+ 1h 36' 23""",East/South-East,Jean Dotto ,FRA,23.0,1,36,0
121,1951,27,"+ 1h 55' 35""",Paris,Jean Robic ,FRA,35.0,1,55,0
122,1952,18,"+ 1h 51' 02""",North Africa,Marcel Zélasco ,FRA,2.0,1,51,0
123,1953,25,"+ 1h 08' 16""",Île-de-France,Stanislas Bober ,FRA,16.0,1,8,0
124,1953,27,"+ 1h 14' 43""",North-East/Centre,Georges Meunier ,FRA,43.0,1,14,0
125,1953,31,"+ 1h 24' 15""",Île-de-France,Maurice Quentin ,FRA,15.0,1,24,0
126,1953,37,"+ 1h 39' 09""",South West,André Darrigade ,FRA,9.0,1,39,0
127,1953,38,"+ 1h 39' 16""",South-East,Pierre Molinéris ,FRA,16.0,1,39,0
128,1953,39,"+ 1h 40' 15""",North-East/Centre,Jean Forestier ,FRA,15.0,1,40,0
129,1953,41,"+ 1h 40' 42""",Île-de-France,Jacques Renaud ,FRA,42.0,1,40,0
130,1953,44,"+ 1h 43' 43""",West,Roger Pontet ,FRA,43.0,1,43,0
131,1953,47,"+ 1h 52' 53""",North-East/Centre,Roger Walkowiak ,FRA,53.0,1,52,0
132,1953,49,"+ 1h 54' 03""",Île-de-France,Alfred Tonello ,FRA,3.0,1,54,0
133,1954,13,"+ 1h 04' 03""",South-East,Apo Lazaridès ,FRA,3.0,1,4,0
134,1954,15,"+ 1h 09' 03""",West,François Mahé ,FRA,3.0,1,9,0
135,1954,24,"+ 1h 31' 53""",South-East,Lucien Lazaridès ,FRA,53.0,1,31,0
136,1954,28,"+ 1h 45' 24""",Île-de-France,Maurice Quentin ,FRA,24.0,1,45,0
137,1955,16,"+ 1h 05' 18""",South-East,Vincent Vitetta ,FRA,18.0,1,5,0
138,1955,18,"+ 1h 09' 58""",North-East/Centre,Gilbert Bauvin ,FRA,58.0,1,9,0
139,1955,24,"+ 1h 40' 01""",West,Claude Colette ,FRA,1.0,1,40,0
140,1956,25,"+ 1h 03' 53""",West,Maurice Quentin ,FRA,53.0,1,3,0
141,1956,31,"+ 1h 24' 58""",South-West,Pierre Beuffeuil ,FRA,58.0,1,24,0
142,1956,37,"+ 1h 34' 02""",West,Joseph Thomin ,FRA,2.0,1,34,0
143,1956,38,"+ 1h 39' 57""",Île-de-France,Nicolas Barone ,FRA,57.0,1,39,0
144,1956,40,"+ 1h 43' 41""",Île-de-France,Raymond Hoorelbeke ,FRA,41.0,1,43,0
145,1956,44,"+ 1h 49' 25""",Île-de-France,Francis Siguenza ,FRA,25.0,1,49,0
146,1956,50,"+ 1h 59' 20""",West,Roger Hassenforder ,FRA,20.0,1,59,0
147,1957,18,"+ 1h 14' 38""",West,Joseph Thomin ,FRA,38.0,1,14,0
148,1957,19,"+ 1h 16' 18""",Île-de-France,Raymond Hoorelbeke ,FRA,18.0,1,16,0
149,1957,22,"+ 1h 29' 11""",South-West,Georges Gay ,FRA,11.0,1,29,0
150,1957,28,"+ 1h 44' 15""",South-East,Henry Anglade ,FRA,15.0,1,44,0
151,1957,30,"+ 1h 59' 13""",South-West,Marcel Queheille ,FRA,13.0,1,59,0
152,1958,13,"+ 1h 02' 18""",Paris/North-East,Edouard Delberghe ,FRA,18.0,1,2,0
153,1958,14,"+ 1h 04' 39""",Centre-Midi,Jean Graczyk ,FRA,39.0,1,4,0
