,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
2622,1928,11,"+ 5h 44' 01""",Armor–Dunlop,Joseph Mauclair ,FRA,1.0,5,44,0
2623,1928,17,"+ 8h 03' 23""",Alleluia–Wolber,Julien Moineau ,FRA,23.0,8,3,0
2624,1928,21,"+ 10h 49' 53""",Fontan-Wolber,Jean Mouveroux ,FRA,53.0,10,49,0
2625,1928,22,"+ 10h 56' 30""",Alleluia–Wolber,Jean Bidot ,FRA,30.0,10,56,0
2626,1928,23,"+ 11h 42' 40""",Fontan-Wolber,Marcel Autaa ,FRA,40.0,11,42,0
2627,1928,25,"+ 15h 51' 56""",South-East France,Paul Filliat ,FRA,56.0,15,51,0
2628,1928,26,"+ 15h 55' 08""",Fontan-Wolber,Raphael Calmette ,FRA,8.0,15,55,0
2629,1928,27,"+ 16h 25' 04""",Normandy,Maurice Arnoult ,FRA,4.0,16,25,0
2630,1928,29,"+ 16h 53' 55""",Elvish–Wolber,Lucien Laval ,FRA,55.0,16,53,0
2631,1928,30,"+ 17h 04' 01""",Alsace-Lorraine,Marcel Colleu ,FRA,1.0,17,4,0
2632,1928,31,"+ 18h 50' 20""",North France,Amand Goubert ,FRA,20.0,18,50,0
2633,1928,32,"+ 19h 10' 18""",J.B. Louvet-Hutchinson,René Hamel ,FRA,18.0,19,10,0
2634,1928,33,"+ 19h 51' 17""",Champagne,Paul Delbart ,FRA,17.0,19,51,0
2635,1928,34,"+ 20h 02' 46""",Champagne,Henri François ,FRA,46.0,20,2,0
2636,1928,35,"+ 20h 10' 21""",Champagne,Fernand Moulet ,FRA,21.0,20,10,0
2637,1928,36,"+ 20h 47' 54""",Fontan-Wolber,Raphael Dupau ,FRA,54.0,20,47,0
2638,1928,37,"+ 21h 05' 32""",Côte d'Azur,François Menta ,FRA,32.0,21,5,0
2639,1928,39,"+ 24h 02' 10""",Côte d'Azur,Fernand Fayolle ,FRA,10.0,24,2,0
2640,1928,40,"+ 25h 30' 57""",Alsace-Lorraine,Lucien Lange ,FRA,57.0,25,30,0
2641,1928,41,"+ 26h 56' 19""",Champagne,Edouard Persin ,FRA,19.0,26,56,0
2642,1929,19,"+ 5h 07' 51""",Lucifer,Francis Bouillet ,FRA,51.0,5,7,0
2643,1929,20,"+ 5h 45' 12""",De Dion Bouton-Wolber,Ernest Neuhard ,FRA,12.0,5,45,0
2644,1929,22,"+ 6h 00' 07""",Alleluia–Wolber,Léon Chene ,FRA,7.0,6,0,0
2645,1929,23,"+ 6h 05' 02""",La Rafale,Jules Merviel ,FRA,2.0,6,5,0
2646,1929,27,"+ 8h 31' 45""",Elvish-Wolber,Julien Perrain ,FRA,45.0,8,31,0
2647,1929,28,"+ 8h 54' 03""",J.B. Louvet-Wolber,Charles Pélissier ,FRA,3.0,8,54,0
2648,1929,30,"+ 9h 50' 15""",Lucifer,Roger Gregoire ,FRA,15.0,9,50,0
2649,1930,1,"172h 12' 16""",France,André Leducq ,FRA,16.0,172,12,1
2650,1930,37,"+ 6h 44' 43""",Touriste-routier (Normandy),Henri Touzard ,FRA,43.0,6,44,0
2651,1930,39,"+ 6h 56' 34""",Touriste-routier (Midi),Adrien Plautin ,FRA,34.0,6,56,0
2652,1930,42,"+ 7h 58' 58""",Touriste-routier (Ile de France),Henri Gottrand ,FRA,58.0,7,58,0
2653,1930,43,"+ 8h 10' 55""",Touriste-routier (North),Amand Goubert ,FRA,55.0,8,10,0
2654,1930,44,"+ 8h 11' 14""",Touriste-routier (Champagne),Paul Delbart ,FRA,14.0,8,11,0
2655,1930,50,"+ 10h 20' 54""",Touriste-routier (Alsace-Lorraine),Lucien Lange ,FRA,54.0,10,20,0
2656,1930,51,"+ 10h 21' 04""",Touriste-routier (Normandy),Marcel Masson ,FRA,4.0,10,21,0
2657,1930,52,"+ 10h 23' 24""",Touriste-routier (Provence),Édouard Teisseire ,FRA,24.0,10,23,0
2658,1930,53,"+ 10h 40' 49""",Touriste-routier (Côte d'Azur),Jean Ampurias ,FRA,49.0,10,40,0
2659,1930,54,"+ 11h 49' 29""",Touriste-routier (Côte d'Azur),Charles Cottalorda ,FRA,29.0,11,49,0
2660,1930,56,"+ 12h 57' 35""",Touriste-routier (Ile de France),Émile Faillu ,FRA,35.0,12,57,0
2661,1930,58,"+ 14h 37' 15""",Touriste-routier (Midi),Pierre Bobo ,FRA,15.0,14,37,0
2662,1930,59,"+ 15h 10' 18""",Touriste-routier (Midi),Marcel Ilpide ,FRA,18.0,15,10,0
2663,1931,1,"177h 10' 03""",France,Antonin Magne ,FRA,3.0,177,10,1
2664,1932,1,"154h 11' 49""",France,André Leducq ,FRA,49.0,154,11,1
2665,1933,1,"147h 51' 37""",France,Georges Speicher ,FRA,37.0,147,51,1
2666,1934,1,"147h 13' 58""",France,Antonin Magne ,FRA,58.0,147,13,1
2667,1934,36,"+ 5h 00' 50""",Individual,Fabien Galateau ,FRA,50.0,5,0,0
2668,1937,1,"138h 58' 31""",France,Roger Lapébie ,FRA,31.0,138,58,1
2669,1937,44,"+ 5h 52' 42""",France,Émile Gamard ,FRA,42.0,5,52,0
2670,1947,1,"148h 11' 25""",West,Jean Robic ,FRA,25.0,148,11,1
2671,1947,48,"+ 5h 04' 06""",North-East,Alexandre Pawlisiak ,FRA,6.0,5,4,0
2672,1947,49,"+ 5h 20' 43""",Île-de-France,Maurice Diot ,FRA,43.0,5,20,0
2673,1947,50,"+ 5h 34' 01""",East,Gaston Rousseau ,FRA,1.0,5,34,0
2674,1947,51,"+ 5h 37' 55""",North-East,Gaston Audier ,FRA,55.0,5,37,0
2675,1949,54,"+ 5h 50' 09""",Centre/South-West,Custodio Dos Reis ,FRA,9.0,5,50,0
2676,1952,75,"+ 5h 19' 19""",West/South-West,André Bernard ,FRA,19.0,5,19,0
2677,1952,77,"+ 7h 11' 36""",North Africa,Vincent Soler ,FRA,36.0,7,11,0
2678,1952,78,"+ 7h 15' 09""",North Africa,Henri Paret ,FRA,9.0,7,15,0
2679,1953,1,"129h 23' 25""",France,Louison Bobet ,FRA,25.0,129,23,1
2680,1954,1,"140h 06' 05""",France,Louison Bobet ,FRA,5.0,140,6,1
2681,1955,1,"130h 29' 26""",France,Louison Bobet ,FRA,26.0,130,29,1
2682,1955,68,"+ 5h 06' 56""",West,Henri Sitek ,FRA,56.0,5,6,0
2683,1956,1,"124h 1' 16""",North-East/Centre,Roger Walkowiak ,FRA,16.0,124,1,1
2684,1957,1,"135h 44' 42""",France,Jacques Anquetil ,FRA,42.0,135,44,1
2685,1961,1,"122h 01' 33""",France,Jacques Anquetil ,FRA,33.0,122,1,1
2686,1962,1,"114h 31' 54""",Saint-Raphaël–Helyett–Hutchinson,Jacques Anquetil ,FRA,54.0,114,31,1
2687,1963,1,"113h 30' 05""",Saint-Raphaël–Gitane–R. Geminiani,Jacques Anquetil ,FRA,5.0,113,30,1
2688,1964,1,"127h 09' 44""",Saint-Raphaël–Gitane–Dunlop,Jacques Anquetil ,FRA,44.0,127,9,1
2689,1966,1,"117h 34' 21""",Ford France–Hutchinson,Lucien Aimar ,FRA,21.0,117,34,1
2690,1967,1,"136h 53' 50""",France,Roger Pingeon ,FRA,50.0,136,53,1
2691,1975,1,"114h 35' 31""",Peugeot–BP–Michelin,Bernard Thévenet ,FRA,31.0,114,35,1
2692,1977,1,"115h 38' 30""",Peugeot–Esso–Michelin,Bernard Thévenet ,FRA,30.0,115,38,1
2693,1978,1,"107h 18' 00""",Renault–Gitane–Campagnolo,Bernard Hinault ,FRA,0.0,107,18,1
2694,1979,1,"103h 06' 50""",Renault–Gitane,Bernard Hinault ,FRA,50.0,103,6,1
2695,1981,1,"96h 19' 38""",Renault–Elf–Gitane,Bernard Hinault ,FRA,38.0,96,19,1
2696,1982,1,"92h 08' 46""",Renault–Elf–Gitane,Bernard Hinault ,FRA,46.0,92,8,1
2697,1983,1,"105h 07' 52""",Renault–Elf,Laurent Fignon ,FRA,52.0,105,7,1
2698,1984,1,"112h 03' 40""",Renault–Elf,Laurent Fignon ,FRA,40.0,112,3,1
2699,1985,1,"113h 24' 23""",La Vie Claire,Bernard Hinault ,FRA,23.0,113,24,1
2700,2014,159,"+ 5h 00' 29""",FDJ.fr,Arnaud Démare ,FRA,29.0,5,0,0
2701,2014,160,"+ 5h 03' 46""",Cannondale,Jean-Marc Marino ,FRA,46.0,5,3,0
2702,2020,115,"+ 5h 00' 14""",Israel Start-Up Nation,Hugo Hofstetter ,FRA,14.0,5,0,0
2703,2020,116,"+ 5h 00' 43""",AG2R La Mondiale,Benoît Cosnefroy ,FRA,43.0,5,0,0
2704,2020,117,"+ 5h 01' 32""",Total Direct Énergie,Fabien Grellier ,FRA,32.0,5,1,0
2705,2020,122,"+ 5h 10' 32""",B&B Hotels–Vital Concept,Bryan Coquard ,FRA,32.0,5,10,0
2706,2020,123,"+ 5h 10' 40""",Total Direct Énergie,Geoffrey Soupe ,FRA,40.0,5,10,0
2707,2020,131,"+ 5h 27' 38""",Total Direct Énergie,Mathieu Burgaudeau ,FRA,38.0,5,27,0
2708,2020,133,"+ 5h 28' 45""",Arkéa–Samsic,Clément Russo ,FRA,45.0,5,28,0
2709,2020,136,"+ 5h 31' 30""",B&B Hotels–Vital Concept,Maxime Chevalier ,FRA,30.0,5,31,0
2710,2020,137,"+ 5h 31' 37""",B&B Hotels–Vital Concept,Kévin Reza ,FRA,37.0,5,31,0
2711,2022,125,"+ 5h 13' 49""",B&B Hotels–KTM,Jérémy Lecroq ,FRA,49.0,5,13,0
2712,2022,128,"+ 5h 20' 17""",Team TotalEnergies,Anthony Turgis ,FRA,17.0,5,20,0
2713,1923,24,"+ 10h 00 '00""",Touriste-Routier,Henri Touzard ,FRA,0.0,10,0,0
2714,1923,31,"+ 19h 01 '46""",Touriste-Routier,Edgard Roy ,FRA,46.0,19,1,0
2715,1923,32,"+ 22h 05 '39""",Touriste-Routier,Antoine Riera ,FRA,39.0,22,5,0
2716,1923,33,"+ 24h 17 '53""",Touriste-Routier,Charles Cento ,FRA,53.0,24,17,0
2717,1923,34,"+ 25h 32 '25""",Touriste-Routier,Maurice Arnoult ,FRA,25.0,25,32,0
2718,1923,35,"+ 32h 27 '02""",Touriste-Routier,Charles Loew ,FRA,2.0,32,27,0
2719,1923,36,"+ 33h 38 '43""",Touriste-Routier,Paul Denis ,FRA,43.0,33,38,0
2720,1923,37,"+ 33h 42 '23""",Touriste-Routier,Félix Richard ,FRA,23.0,33,42,0
2721,1923,39,"+ 35h 07 '38""",Touriste-Routier,Jean Kienlen ,FRA,38.0,35,7,0
2722,1923,41,"+ 40h 57 '43""",Touriste-Routier,Alfred Hersard ,FRA,43.0,40,57,0
2723,1923,44,"+ 42h 18 '20""",Touriste-Routier,Georges Kamm ,FRA,20.0,42,18,0
2724,1923,45,"+ 42h 59 '39""",Touriste-Routier,Charles Arnulf ,FRA,39.0,42,59,0
2725,1923,46,"+ 43h 32 '35""",Touriste-Routier,Marcel Simonet ,FRA,35.0,43,32,0
2726,1923,48,"+ 48h 31 '07""",Touriste-Routier,Daniel Masson ,FRA,7.0,48,31,0
2727,1924,22,"+ 6h 50' 56""",Touriste-Routier,Henri Touzard ,FRA,56.0,6,50,0
2728,1924,24,"+ 7h 44' 31""",Touriste-Routier,Henri Ferrara ,FRA,31.0,7,44,0
2729,1924,26,"+ 12h 29' 46""",Touriste-Routier,Maurice Arnoult ,FRA,46.0,12,29,0
2730,1924,29,"+ 15h 16' 18""",Touriste-Routier,Charles Cento ,FRA,18.0,15,16,0
2731,1924,33,"+ 16h 52' 38""",Touriste-Routier,Marie Aubry ,FRA,38.0,16,52,0
2732,1924,37,"+ 21h 05' 27""",Touriste-Routier,Antoine Riera ,FRA,27.0,21,5,0
2733,1924,38,"+ 22h 11' 50""",Touriste-Routier,Paul Denis ,FRA,50.0,22,11,0
2734,1924,39,"+ 22h 29' 17""",Touriste-Routier,Jean Garby ,FRA,17.0,22,29,0
2735,1924,40,"+ 22h 29' 21""",Touriste-Routier,Henri Catelan ,FRA,21.0,22,29,0
2736,1924,43,"+ 27h 28' 50""",Touriste-Routier,Robert Loret ,FRA,50.0,27,28,0
2737,1924,44,"+ 27h 29' 43""",Touriste-Routier,Henri Rubert ,FRA,43.0,27,29,0
2738,1924,45,"+ 27h 39' 21""",Touriste-Routier,Félix Richard ,FRA,21.0,27,39,0
2739,1924,49,"+ 29h 08' 30""",Touriste-Routier,Georges Kamm ,FRA,30.0,29,8,0
2740,1924,51,"+ 30h 37' 47""",Touriste-Routier,Lucien Prudhomme ,FRA,47.0,30,37,0
2741,1924,54,"+ 36h 42' 45""",Touriste-Routier,Alfred Hersard ,FRA,45.0,36,42,0
2742,1924,57,"+ 41h 30' 49""",Touriste-Routier,Adrien Toussaint ,FRA,49.0,41,30,0
2743,1924,58,"+ 43h 17' 24""",Touriste-Routier,François Chevalier ,FRA,24.0,43,17,0
2744,1924,59,"+ 44h 51' 39""",Touriste-Routier,Louis Millo ,FRA,39.0,44,51,0
2745,1924,60,"+ 45h 12' 05""",Touriste-Routier,Victor Lafosse ,FRA,5.0,45,12,0
2746,1927,19,"+ 15h 08' 03""",Touriste-Routier,Henri Touzard ,FRA,3.0,15,8,0
2747,1927,20,"+ 15h 52' 28""",Touriste-Routier,José Pelletier ,FRA,28.0,15,52,0
2748,1927,21,"+ 16h 05' 01""",Touriste-Routier,Maurice Arnoult ,FRA,1.0,16,5,0
2749,1927,30,"+ 22h 20' 35""",Touriste-Routier,Marcel Gendrin ,FRA,35.0,22,20,0
2750,1927,34,"+ 23h 59' 59""",Touriste-Routier,Edoaurd Teisseire ,FRA,59.0,23,59,0
2751,1927,35,"+ 25h 39' 05""",Touriste-Routier,Jules Nempon ,FRA,5.0,25,39,0
2752,1927,36,"+ 27h 04' 27""",Touriste-Routier,Amand Goubert ,FRA,27.0,27,4,0
2753,1927,37,"+ 27h 10' 20""",Touriste-Routier,André Drobecq ,FRA,20.0,27,10,0
2754,1927,39,"+ 30h 03' 51""",Touriste-Routier,Jacques Pfister ,FRA,51.0,30,3,0
2755,1929,25,"+ 6h 30' 50""",Touriste-Routier,Georges Laloup ,FRA,50.0,6,30,0
2756,1929,29,"+ 8h 55' 50""",Touriste-Routier,Georges Berton ,FRA,50.0,8,55,0
2757,1929,31,"+ 10h 26' 25""",Touriste-Routier,Hector Denis ,FRA,25.0,10,26,0
2758,1929,33,"+ 11h 32' 17""",Touriste-Routier,Auguste Encrine ,FRA,17.0,11,32,0
2759,1929,35,"+ 11h 36' 51""",Touriste-Routier,Adrien Plautin ,FRA,51.0,11,36,0
2760,1929,36,"+ 12h 13' 56""",Touriste-Routier,Jean Preuss ,FRA,56.0,12,13,0
2761,1929,38,"+ 12h 38' 15""",Touriste-Routier,François Moreels ,FRA,15.0,12,38,0
2762,1929,39,"+ 12h 41' 44""",Touriste-Routier,Henri Touzard ,FRA,44.0,12,41,0
2763,1929,40,"+ 13h 08' 33""",Touriste-Routier,Roger Lebas ,FRA,33.0,13,8,0
2764,1929,41,"+ 13h 27' 23""",Touriste-Routier,Marcel Mazeyrat ,FRA,23.0,13,27,0
2765,1929,42,"+ 13h 49' 49""",Touriste-Routier,Leopold Boisselle ,FRA,49.0,13,49,0
2766,1929,44,"+ 15h 06' 16""",Touriste-Routier,Paul Delbart ,FRA,16.0,15,6,0
2767,1929,45,"+ 16h 27' 38""",Touriste-Routier,Henri Thomas ,FRA,38.0,16,27,0
2768,1929,47,"+ 16h 49' 47""",Touriste-Routier,Eugène Greau ,FRA,47.0,16,49,0
2769,1929,48,"+ 17h 09' 50""",Touriste-Routier,Edouard Teisseire ,FRA,50.0,17,9,0
2770,1929,50,"+ 19h 57' 59""",Touriste-Routier,Georges Petit ,FRA,59.0,19,57,0
2771,1929,52,"+ 21h 52' 55""",Touriste-Routier,Marcel Masson ,FRA,55.0,21,52,0
2772,1929,53,"+ 22h 14' 52""",Touriste-Routier,Henri Prevost ,FRA,52.0,22,14,0
2773,1929,54,"+ 22h 24' 53""",Touriste-Routier,Marcel Gendrin ,FRA,53.0,22,24,0
2774,1929,55,"+ 22h 30' 00""",Touriste-Routier,François Ondet ,FRA,0.0,22,30,0
2775,1929,56,"+ 23h 06' 13""",Touriste-Routier,Charles Cottalorda ,FRA,13.0,23,6,0
2776,1929,57,"+ 24h 50' 41""",Touriste-Routier,Emile Faillu ,FRA,41.0,24,50,0
2777,1929,58,"+ 25h 17' 57""",Touriste-Routier,Paul Denis ,FRA,57.0,25,17,0
2778,1929,59,"+ 26h 08' 50""",Touriste-Routier,Marcel Ilpide ,FRA,50.0,26,8,0
2779,1929,60,"+ 31h 37' 55""",Touriste-Routier,André Leger ,FRA,55.0,31,37,0
2780,1930,28,"+ 4h 06' 40""",Touriste-Routier,François Ondet ,FRA,40.0,4,6,0
2781,1930,35,"+ 5h 41' 42""",Touriste-Routier,Lucien Laval ,FRA,42.0,5,41,0
2782,1930,38,"+ 6h 51' 13""",Touriste-Routier,Pierre Jouel ,FRA,13.0,6,51,0
2783,1930,40,"+ 7h 09' 57""",Touriste-Routier,Léopold Boisselle ,FRA,57.0,7,9,0
2784,1930,41,"+ 7h 48' 03""",Touriste-Routier,Fernand Robache ,FRA,3.0,7,48,0
2785,1930,46,"+ 8h 23' 58""",Touriste-Routier,Henri Prévost ,FRA,58.0,8,23,0
2786,1930,47,"+ 8h 54' 53""",Touriste-Routier,Marcel Tissier ,FRA,53.0,8,54,0
2787,1930,55,"+ 11h 55' 24""",Touriste-Routier,Paulin Lanteri ,FRA,24.0,11,55,0
2788,1930,57,"+ 14h 14' 14""",Touriste-Routier,Georges Petit ,FRA,14.0,14,14,0
2789,1931,28,"+ 4h 06' 02""",Touriste-Routier,Louis Bajard ,FRA,2.0,4,6,0
2790,1931,29,"+ 4h 20' 58""",Touriste-Routier,Fernand Fayolle ,FRA,58.0,4,20,0
2791,1931,31,"+ 4h 42' 04""",Touriste-Routier,Lazare Venot ,FRA,4.0,4,42,0
2792,1931,34,"+ 5h 13' 00""",Touriste-Routier,François Henri ,FRA,0.0,5,13,0
2793,1932,46,"+ 4h 06' 02""",Touriste-Routier,Jean Goulême ,FRA,2.0,4,6,0
2794,1932,51,"+ 4h 32' 29""",Touriste-Routier,François Haas ,FRA,29.0,4,32,0
2795,1932,52,"+ 4h 38' 35""",Touriste-Routier,Robert Brugère ,FRA,35.0,4,38,0
2796,1932,53,"+ 4h 47' 05""",Touriste-Routier,Francis Bouillet ,FRA,5.0,4,47,0
2797,1932,54,"+ 4h 47' 18""",Touriste-Routier,Fernand Cornez ,FRA,18.0,4,47,0
2798,1935,28,"+ 4h 24' 36""",Touriste-Routier,Honoré Granier ,FRA,36.0,4,24,0
2799,1935,31,"+ 4h 39' 14""",Touriste-Routier,Paul Chocque ,FRA,14.0,4,39,0
2800,1935,33,"+ 4h 52' 33""",Touriste-Routier,Aldo Bertocco ,FRA,33.0,4,52,0
2801,1935,35,"+ 5h 12' 28""",Touriste-Routier,Oreste Bernardoni ,FRA,28.0,5,12,0
2802,1935,36,"+ 5h 12' 47""",Touriste-Routier,Louis Thiétard ,FRA,47.0,5,12,0
2803,1935,37,"+ 5h 26' 28""",Touriste-Routier,Charles Berty ,FRA,28.0,5,26,0
2804,1935,38,"+ 5h 27' 50""",Touriste-Routier,Georges Lachat ,FRA,50.0,5,27,0
2805,1935,41,"+ 6h 01' 18""",Touriste-Routier,Manuel Garcia ,FRA,18.0,6,1,0
2806,1935,43,"+ 6h 13' 39""",Touriste-Routier,Théodore Ladron ,FRA,39.0,6,13,0
2807,1935,44,"+ 6h 17' 55""",Touriste-Routier,Georges Hubatz ,FRA,55.0,6,17,0
2808,1936,39,"+ 4h 09' 18""",Touriste-Routier,Gabriel Dubois ,FRA,18.0,4,9,0
2809,1936,40,"+ 4h 21' 35""",Touriste-Routier,Fabien Galateau ,FRA,35.0,4,21,0
2810,1936,41,"+ 4h 23' 16""",Touriste-Routier,Antoine Latorre ,FRA,16.0,4,23,0
2811,1936,43,"+ 4h 49' 07""",Touriste-Routier,Aldo Bertocco ,FRA,7.0,4,49,0
2812,1903,7,"+ 8h 31' 08""",Brennabor,Julien Lootens ,BEL,8.0,8,31,0
2813,1903,10,"+ 12h 44' 57""",La Française,Aloïs Catteau ,BEL,57.0,12,44,0
2814,1913,1,"197h 54' 00""",Peugeot,Philippe Thys ,BEL,0.0,197,54,1
2815,1913,6,"+ 7h 57' 52""",J.B. Louvet,Alfons Spiessens ,BEL,52.0,7,57,0
2816,1913,9,"+ 16h 39' 53""",J.B. Louvet,Joseph Vandaele ,BEL,53.0,16,39,0
2817,1913,14,"+ 19h 27' 02""",Automoto,Paul Deman ,BEL,2.0,19,27,0
2818,1914,1,"200h 28' 48""",Peugeot–Wolber,Philippe Thys ,BEL,48.0,200,28,1
2819,1914,8,"+ 5h 08' 54""",Peugeot–Wolber,Firmin Lambot ,BEL,54.0,5,8,0
2820,1914,10,"+ 7h 49' 02""",Peugeot–Wolber,Louis Heusghem ,BEL,2.0,7,49,0
2821,1914,14,"+ 10h 02' 30""",Thoman–Joly,Léon Scieur ,BEL,30.0,10,2,0
2822,1914,18,"+ 12h 23' 21""",Delage–Continental,Hector Tiberghien ,BEL,21.0,12,23,0
2823,1914,19,"+ 12h 24' 15""",Thoman–Joly,Jacques Coomans ,BEL,15.0,12,24,0
2824,1914,22,"+ 13h 22' 14""",Armor–Soly,Henri Devroye ,BEL,14.0,13,22,0
2825,1914,26,"+ 15h 38' 44""",Delage–Continental,Louis Petitjean ,BEL,44.0,15,38,0
2826,1914,28,"+ 17h 05' 07""",J.B. Louvet–Continental,René Vandenberghe ,BEL,7.0,17,5,0
2827,1923,14,"+ 5h 00 '04""",Griffon,Théophile Beeckman ,BEL,4.0,5,0,0
2828,1923,19,"+ 7h 13 '56""",Touriste-Routier,Camille Botte ,BEL,56.0,7,13,0
2829,1923,21,"+ 8h 03 '43""",Christophe,Benjamin Mortier ,BEL,43.0,8,3,0
2830,1923,22,"+ 8h 17 '38""",Thomann,Alfons Standaert ,BEL,38.0,8,17,0
2831,1923,28,"+ 12h 01 '57""",Alcyon,Louis Mottiat ,BEL,57.0,12,1,0
2832,1923,30,"+ 17h 20 '20""",Touriste-Routier,Pierre Hudsyn ,BEL,20.0,17,20,0
2833,1923,47,"+ 44h 53 '46""",Touriste-Routier,Maurice Protin ,BEL,46.0,44,53,0
2834,1924,27,"+ 13h 15' 14""",Touriste-Routier,René Wendels ,BEL,14.0,13,15,0
2835,1924,48,"+ 29h 06' 03""",Touriste-Routier,Maurice Protin ,BEL,3.0,29,6,0
2836,1925,15,"+5h 07' 33""",Automoto,Jules Buysse ,BEL,33.0,5,7,0
2837,1925,16,"+5h 28' 07""",Touriste,Léon Despontin ,BEL,7.0,5,28,0
2838,1925,17,"+6h 39' 01""",Christophe,Emile Hardy ,BEL,1.0,6,39,0
2839,1925,20,"+7h 30' 06""",Labor,Raymond Englebert ,BEL,6.0,7,30,0
2840,1925,22,"+8h 55' 18""",Alcyon,Emile Masson Sr. ,BEL,18.0,8,55,0
2841,1925,31,"+13h 26' 54""",Alcyon,Louis Mottiat ,BEL,54.0,13,26,0
2842,1925,35,"+16h 09' 19""",Labor,Alfons Standaert ,BEL,19.0,16,9,0
2843,1925,47,"+30h 26' 16""",Touriste,Arthur Hendryckx ,BEL,16.0,30,26,0
2844,1926,1,"238h 44' 25""",Automoto–Hutchinson,Lucien Buysse ,BEL,25.0,238,44,1
2845,1926,15,"+5h 23' 19""",Christophe–Hutchinson,Aimé Dossche ,BEL,19.0,5,23,0
2846,1926,16,"+6h 02' 20""",Christophe–Hutchinson,Emile Hardy ,BEL,20.0,6,2,0
2847,1926,17,"+6h 03' 10""",Alcyon–Dunlop,Raymond Englebert ,BEL,10.0,6,3,0
2848,1926,20,"+7h 49' 44""",Meteore–Wolber,Omer Vermeulen ,BEL,44.0,7,49,0
2849,1926,22,"+9h 37' 02""",Armor–Dunlop,Alfons Standaert ,BEL,2.0,9,37,0
2850,1926,25,"+10h 05' 23""",Thomann–Dunlop,Léon Devos ,BEL,23.0,10,5,0
2851,1926,26,"+10h 27' 05""",Labor–Dunlop,Jan Mertens ,BEL,5.0,10,27,0
2852,1926,28,"+10h 41' 09""",Labor–Dunlop,Louis Delannoy ,BEL,9.0,10,41,0
2853,1926,32,"+13h 59' 59""",Meteore–Wolber,Fernand Saive ,BEL,59.0,13,59,0
2854,1927,7,"+ 6h 18' 36""",J.B. Louvet,Pé Verhaegen ,BEL,36.0,6,18,0
2855,1927,9,"+ 7h 07' 34""",J.B. Louvet,Hector Martin ,BEL,34.0,7,7,0
2856,1927,10,"+ 7h 16' 02""",J.B. Louvet,Maurice Geldhof ,BEL,2.0,7,16,0
2857,1927,11,"+ 8h 17' 12""",J.B. Louvet,Raymond Decorte ,BEL,12.0,8,17,0
2858,1927,12,"+ 8h 27' 49""",Armor–Dunlop,Louis Muller ,BEL,49.0,8,27,0
2859,1927,13,"+ 10h 51' 56""",Alcyon–Dunlop,Jan Debusschere ,BEL,56.0,10,51,0
2860,1927,14,"+ 11h 01' 54""",J.B. Louvet,Gustaaf Van Slembrouck ,BEL,54.0,11,1,0
2861,1927,16,"+ 13h 28' 02""",Labor–Dunlop,Louis Delannoy ,BEL,2.0,13,28,0
2862,1927,17,"+ 14h 08' 18""",J.B. Louvet,Jos Hemelsoet ,BEL,18.0,14,8,0
2863,1927,23,"+ 17h 18' 48""",Touriste-Routier,Albert Jordens ,BEL,48.0,17,18,0
2864,1927,28,"+ 21h 15' 02""",Touriste-Routier,Léon Despontin ,BEL,2.0,21,15,0
2865,1927,31,"+ 22h 27' 49""",Touriste-Routier,Omer Mahy ,BEL,49.0,22,27,0
2866,1927,33,"+ 22h 52' 35""",Touriste-Routier,Camille Segers ,BEL,35.0,22,52,0
2867,1927,38,"+ 29h 12' 19""",Touriste-Routier,Pierre Claes ,BEL,19.0,29,12,0
2868,1928,12,"+ 5h 53' 44""",Alcyon–Dunlop,Gaston Rebry ,BEL,44.0,5,53,0
2869,1928,13,"+ 6h 11' 35""",Armor–Dunlop,Louis Delannoy ,BEL,35.0,6,11,0
2870,1928,14,"+ 6h 52' 55""",J.B. Louvet-Hutchinson,Camille Van de Casteele ,BEL,55.0,6,52,0
2871,1928,16,"+ 7h 39' 56""",J.B. Louvet-Hutchinson,Pé Verhaegen ,BEL,56.0,7,39,0
2872,1928,19,"+ 9h 27' 21""",Alcyon–Dunlop,Désiré Louesse ,BEL,21.0,9,27,0
2873,1928,20,"+ 10h 23' 18""",J.B. Louvet-Hutchinson,Odiel Taillieu ,BEL,18.0,10,23,0
2874,1928,24,"+ 12h 27' 02""",J.B. Louvet-Hutchinson,Raymond Decorte ,BEL,2.0,12,27,0
2875,1929,1,"186h 39' 15""",Alcyon,Maurice De Waele ,BEL,15.0,186,39,1
2876,1929,21,"+ 5h 49' 39""",Touriste-Routier,Omer Taverne ,BEL,39.0,5,49,0
2877,1929,34,"+ 11h 35' 10""",Touriste-Routier,Albert Jordens ,BEL,10.0,11,35,0
2878,1935,1,"141h 32' 00""",Belgium,Romain Maes ,BEL,0.0,141,32,1
2879,1936,1,"142h 47' 32""",Belgium,Sylvère Maes ,BEL,32.0,142,47,1
2880,1939,1,"132h 03' 17""",Belgium,Sylvère Maes ,BEL,17.0,132,3,1
2881,1969,1,"116h 16' 02""",Faema,Eddy Merckx ,BEL,2.0,116,16,1
2882,1970,1,"119h 31' 49""",Faemino–Faema,Eddy Merckx ,BEL,49.0,119,31,1
2883,1971,1,"96h 45' 14""",Molteni,Eddy Merckx ,BEL,14.0,96,45,1
2884,1972,1,"108h 17' 18""",Molteni,Eddy Merckx ,BEL,18.0,108,17,1
